Rep,Clf,K,all,std,comp,D,t
RAW,RF,3,0.778991556244355,0.012004561020716552,0.8235034735384485,10,18.949254035949707
RAW,LDA,3,0.7374402960205694,0.016527806588518493,0.787266593900219,10,0.3589510917663574
LOG,RF,3,0.7789190969490246,0.012051142822897825,0.8235025236600734,10,16.973920822143555
LOG,LDA,3,0.6915495247452764,0.0175924670539984,0.7417151082541654,10,0.3130309581756592
ILR,RF,3,0.7631471912719805,0.009793195769034637,0.8094382988853929,10,25.802249908447266
ILR,LDA,3,0.6837480857451528,0.017475242449360048,0.7358784268402087,10,0.32776379585266113
